Title,Formatted Date,URL,pic_id
08-10-2022 Wednesday - Al Brooks,[[20220810]],https://www.brookspriceaction.com/viewtopic.php?t=6055,7166.0
08-11-2022 Thursday - No Chart,[[20220811]],https://www.brookspriceaction.com/viewtopic.php?t=6054,
08-12-2022 Friday - No Chart,[[20220812]],https://www.brookspriceaction.com/viewtopic.php?t=6053,
08-15-2022 Monday - Al Brooks,[[20220815]],https://www.brookspriceaction.com/viewtopic.php?t=6062,7167.0
08-16-2022 Tuesday - No Chart,[[20220816]],https://www.brookspriceaction.com/viewtopic.php?t=6061,
08-17-2022 Wednesday - Al Brooks,[[20220817]],https://www.brookspriceaction.com/viewtopic.php?t=6060,7168.0
08-18-2022 Thursday - No Chart,[[20220818]],https://www.brookspriceaction.com/viewtopic.php?t=6059,
08-19-2022 Friday - No Chart,[[20220819]],https://www.brookspriceaction.com/viewtopic.php?t=6058,
08-23-2022 Tuesday,[[20220823]],https://www.brookspriceaction.com/viewtopic.php?t=6063,7169.0
08-30-2022 Tuesday,[[20220830]],https://www.brookspriceaction.com/viewtopic.php?t=6066,7170.0
09-02-2022 Friday,[[20220902]],https://www.brookspriceaction.com/viewtopic.php?t=6068,7173.0
09-06-2022 Tuesday,[[20220906]],https://www.brookspriceaction.com/viewtopic.php?t=6069,7175.0
09-13-2022 Tuesday,[[20220913]],https://www.brookspriceaction.com/viewtopic.php?t=6073,7177.0
09-19-2022 Monday - Al Brooks,[[20220919]],https://www.brookspriceaction.com/viewtopic.php?t=6076,7178.0
10-03-2022 Monday - Al Brooks,[[20221003]],https://www.brookspriceaction.com/viewtopic.php?t=6078,7180.0
10-07-2022 Friday - Al Brooks,[[20221007]],https://www.brookspriceaction.com/viewtopic.php?t=6079,7181.0
10-10-2022 Wednesday - Al Brooks,[[20221010]],https://www.brookspriceaction.com/viewtopic.php?t=6081,7182.0
10-21-2022 Friday - Al Brooks,[[20221021]],https://www.brookspriceaction.com/viewtopic.php?t=6084,7184.0
11-01-2022 Tuesday - Al Brooks,[[20221101]],https://www.brookspriceaction.com/viewtopic.php?t=6085,
11-07-2022 Monday - Al Brooks,[[20221107]],https://www.brookspriceaction.com/viewtopic.php?t=6086,
11-14-2022 Monday - Al Brooks,[[20221114]],https://www.brookspriceaction.com/viewtopic.php?t=6087,7189
11-29-2022 Tuesday - Al Brooks,[[20221129]],https://www.brookspriceaction.com/viewtopic.php?t=6088,7191
12-01-2022 Thursday,[[20221201]],https://www.brookspriceaction.com/viewtopic.php?t=6094,7193
12-09-2022 Friday,[[20221209]],https://www.brookspriceaction.com/viewtopic.php?t=6096,7195
12-12-2022 Monday,[[20221212]],https://www.brookspriceaction.com/viewtopic.php?t=6097,7196
12-19-2022 Monday,[[20221219]],https://www.brookspriceaction.com/viewtopic.php?t=6098,7197
